module_name,module_type,project_key,is_child_module,parent_module,child_detection_method,present_in_codebase,enabled_runtime_drush,enabled_in_core_extension,parent_enabled_runtime,safe_to_flag_for_deletion,module_info_path
action,core,action,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/action/action.info.yml
address,contrib,address,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/modules/contrib/address/address.info.yml
admin_toolbar,contrib,admin_toolbar,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/admin_toolbar/admin_toolbar.info.yml
admin_toolbar_links_access_filter,contrib,admin_toolbar,yes,admin_toolbar,path_under_canonical_project,yes,no,no,yes,no,/srv/usagov-2021/web/modules/contrib/admin_toolbar/admin_toolbar_links_access_filter/admin_toolbar_links_access_filter.info.yml
admin_toolbar_search,contrib,admin_toolbar,yes,admin_toolbar,path_under_canonical_project,yes,no,no,yes,no,/srv/usagov-2021/web/modules/contrib/admin_toolbar/admin_toolbar_search/admin_toolbar_search.info.yml
admin_toolbar_tools,contrib,admin_toolbar,yes,admin_toolbar,path_under_canonical_project,yes,yes,yes,yes,no,/srv/usagov-2021/web/modules/contrib/admin_toolbar/admin_toolbar_tools/admin_toolbar_tools.info.yml
allowed_formats,contrib,allowed_formats,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/allowed_formats/allowed_formats.info.yml
announcements_feed,core,announcements_feed,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/announcements_feed/announcements_feed.info.yml
autologout,contrib,autologout,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/autologout/autologout.info.yml
automated_cron,core,automated_cron,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/automated_cron/automated_cron.info.yml
ban,core,ban,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/ban/ban.info.yml
basic_auth,core,basic_auth,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/basic_auth/basic_auth.info.yml
big_pipe,core,big_pipe,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/big_pipe/big_pipe.info.yml
block,core,block,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/block/block.info.yml
block_content,core,block_content,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/block_content/block_content.info.yml
book,core,book,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/book/book.info.yml
breakpoint,core,breakpoint,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/breakpoint/breakpoint.info.yml
ckeditor5,core,ckeditor5,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/ckeditor5/ckeditor5.info.yml
ckeditor_media_resize,contrib,ckeditor_media_resize,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/ckeditor_media_resize/ckeditor_media_resize.info.yml
comment,core,comment,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/comment/comment.info.yml
composer_deploy,contrib,composer_deploy,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/composer_deploy/composer_deploy.info.yml
conditional_fields,contrib,conditional_fields,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/conditional_fields/conditional_fields.info.yml
config,core,config,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/config/config.info.yml
config_pages,contrib,config_pages,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/config_pages/config_pages.info.yml
config_split,contrib,config_split,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/config_split/config_split.info.yml
config_translation,core,config_translation,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/config_translation/config_translation.info.yml
contact,core,contact,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/contact/contact.info.yml
content_lock,contrib,content_lock,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/content_lock/content_lock.info.yml
content_lock_timeout,contrib,content_lock,yes,content_lock,path_under_canonical_project,yes,yes,yes,yes,no,/srv/usagov-2021/web/modules/contrib/content_lock/modules/content_lock_timeout/content_lock_timeout.info.yml
content_moderation,core,content_moderation,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/content_moderation/content_moderation.info.yml
