module_name,module_type,present_in_codebase,enabled_runtime_drush,enabled_in_core_extension,status_runtime
action,core,yes,no,no,disabled
address,contrib,yes,no,no,disabled
admin_toolbar,contrib,yes,yes,yes,enabled
admin_toolbar_links_access_filter,contrib,yes,no,no,disabled
admin_toolbar_search,contrib,yes,no,no,disabled
admin_toolbar_tools,contrib,yes,yes,yes,enabled
allowed_formats,contrib,yes,yes,yes,enabled
announcements_feed,core,yes,no,no,disabled
autologout,contrib,yes,yes,yes,enabled
automated_cron,core,yes,no,no,disabled
ban,core,yes,no,no,disabled
basic_auth,core,yes,no,no,disabled
big_pipe,core,yes,no,no,disabled
block,core,yes,yes,yes,enabled
block_content,core,yes,yes,yes,enabled
book,core,yes,no,no,disabled
breakpoint,core,yes,yes,yes,enabled
ckeditor5,core,yes,yes,yes,enabled
ckeditor_media_resize,contrib,yes,yes,yes,enabled
comment,core,yes,no,no,disabled
composer_deploy,contrib,yes,yes,yes,enabled
conditional_fields,contrib,yes,yes,yes,enabled
config,core,yes,yes,yes,enabled
config_pages,contrib,yes,yes,yes,enabled
config_split,contrib,yes,yes,yes,enabled
config_translation,core,yes,no,no,disabled
contact,core,yes,no,no,disabled
content_lock,contrib,yes,yes,yes,enabled
content_lock_timeout,contrib,yes,yes,yes,enabled
content_moderation,core,yes,yes,yes,enabled
content_moderation_notifications,contrib,yes,yes,yes,enabled
content_translation,core,yes,yes,yes,enabled
contextual,core,yes,yes,yes,enabled
csv_serialization,contrib,yes,yes,yes,enabled
ctools,contrib,yes,yes,yes,enabled
ctools_block,contrib,yes,no,no,disabled
ctools_entity_mask,contrib,yes,no,no,disabled
ctools_views,contrib,yes,no,no,disabled
datetime,core,yes,yes,yes,enabled
datetime_range,core,yes,yes,yes,enabled
dblog,core,yes,no,no,disabled
demo_umami_content,other,yes,no,no,disabled
devel,contrib,yes,yes,no,enabled
devel_generate,contrib,yes,yes,no,enabled
diff,contrib,yes,yes,yes,enabled
drupal_system_cross_profile_test,other,yes,no,no,disabled
drupal_system_listing_compatible_test,other,yes,no,no,disabled
dynamic_page_cache,core,yes,yes,yes,enabled
editor,core,yes,yes,yes,enabled
embed,contrib,yes,yes,yes,enabled
embedded_content,contrib,yes,yes,yes,enabled
entity_embed,contrib,yes,yes,yes,enabled
entity_reference_revisions,contrib,yes,yes,yes,enabled
externalauth,contrib,yes,yes,yes,enabled
faqfield,contrib,yes,yes,yes,enabled
feeds,contrib,yes,yes,yes,enabled
feeds_log,contrib,yes,no,no,disabled
field,core,yes,yes,yes,enabled
field_defaults,contrib,yes,yes,yes,enabled
field_group,contrib,yes,yes,yes,enabled
field_group_accordion,contrib,yes,no,no,disabled
field_group_migrate,contrib,yes,no,no,disabled
field_layout,core,yes,no,no,disabled
field_permissions,contrib,yes,yes,yes,enabled
