entity_type,name,action,status,reason
package,drupal/address,remove,planned_dry_run,eligible_contrib_package
package,drupal/meaofd,remove,planned_dry_run,eligible_contrib_package
module,usa_workflow,remove,planned_dry_run,eligible_custom_module
module,usagov_unpub_es,remove,planned_dry_run,eligible_custom_module
module,action,skip,skipped,excluded_module_type_core_or_other
module,announcements_feed,skip,skipped,excluded_module_type_core_or_other
module,automated_cron,skip,skipped,excluded_module_type_core_or_other
module,ban,skip,skipped,excluded_module_type_core_or_other
module,basic_auth,skip,skipped,excluded_module_type_core_or_other
module,big_pipe,skip,skipped,excluded_module_type_core_or_other
module,book,skip,skipped,excluded_module_type_core_or_other
module,comment,skip,skipped,excluded_module_type_core_or_other
module,config_translation,skip,skipped,excluded_module_type_core_or_other
module,contact,skip,skipped,excluded_module_type_core_or_other
module,dblog,skip,skipped,excluded_module_type_core_or_other
module,demo_umami_content,skip,skipped,excluded_module_type_core_or_other
module,drupal_system_cross_profile_test,skip,skipped,excluded_module_type_core_or_other
module,drupal_system_listing_compatible_test,skip,skipped,excluded_module_type_core_or_other
module,field_layout,skip,skipped,excluded_module_type_core_or_other
module,forum,skip,skipped,excluded_module_type_core_or_other
module,help,skip,skipped,excluded_module_type_core_or_other
module,help_topics,skip,skipped,excluded_module_type_core_or_other
module,history,skip,skipped,excluded_module_type_core_or_other
module,inline_form_errors,skip,skipped,excluded_module_type_core_or_other
module,layout_builder,skip,skipped,excluded_module_type_core_or_other
module,layout_builder_expose_all_field_blocks,skip,skipped,excluded_module_type_core_or_other
module,layout_discovery,skip,skipped,excluded_module_type_core_or_other
module,locale,skip,skipped,excluded_module_type_core_or_other
module,migrate,skip,skipped,excluded_module_type_core_or_other
module,migrate_drupal,skip,skipped,excluded_module_type_core_or_other
module,migrate_drupal_ui,skip,skipped,excluded_module_type_core_or_other
module,navigation,skip,skipped,excluded_module_type_core_or_other
module,navigation_top_bar,skip,skipped,excluded_module_type_core_or_other
module,pgsql,skip,skipped,excluded_module_type_core_or_other
module,phpass,skip,skipped,excluded_module_type_core_or_other
module,sdc,skip,skipped,excluded_module_type_core_or_other
module,search,skip,skipped,excluded_module_type_core_or_other
module,shortcut,skip,skipped,excluded_module_type_core_or_other
module,sqlite,skip,skipped,excluded_module_type_core_or_other
module,statistics,skip,skipped,excluded_module_type_core_or_other
module,syslog,skip,skipped,excluded_module_type_core_or_other
module,testing_config_overrides_module,skip,skipped,excluded_module_type_core_or_other
module,tome,skip,skipped,mixed_package_not_all_safe
module,tome_static_cron,skip,skipped,mixed_package_not_all_safe
module,tome_static_super_cache,skip,skipped,mixed_package_not_all_safe
module,tome_sync,skip,skipped,mixed_package_not_all_safe
module,tome_sync_autoclean,skip,skipped,mixed_package_not_all_safe
module,tour,skip,skipped,excluded_module_type_core_or_other
module,tracker,skip,skipped,excluded_module_type_core_or_other
module,workspaces,skip,skipped,excluded_module_type_core_or_other
package,drupal/tome,skip,skipped,mixed_package_not_all_safe
verification,dry_run,verify,not_applicable,execution_not_performed
