module_name,module_type,project_key,skip_reason,enabled_runtime_drush,enabled_in_core_extension,safe_to_flag_for_deletion
action,core,action,excluded_module_type_core_or_other,no,no,yes
announcements_feed,core,announcements_feed,excluded_module_type_core_or_other,no,no,yes
automated_cron,core,automated_cron,excluded_module_type_core_or_other,no,no,yes
ban,core,ban,excluded_module_type_core_or_other,no,no,yes
basic_auth,core,basic_auth,excluded_module_type_core_or_other,no,no,yes
big_pipe,core,big_pipe,excluded_module_type_core_or_other,no,no,yes
book,core,book,excluded_module_type_core_or_other,no,no,yes
comment,core,comment,excluded_module_type_core_or_other,no,no,yes
config_translation,core,config_translation,excluded_module_type_core_or_other,no,no,yes
contact,core,contact,excluded_module_type_core_or_other,no,no,yes
dblog,core,dblog,excluded_module_type_core_or_other,no,no,yes
demo_umami_content,other,,excluded_module_type_core_or_other,no,no,yes
drupal_system_cross_profile_test,other,,excluded_module_type_core_or_other,no,no,yes
drupal_system_listing_compatible_test,other,,excluded_module_type_core_or_other,no,no,yes
field_layout,core,field_layout,excluded_module_type_core_or_other,no,no,yes
forum,core,forum,excluded_module_type_core_or_other,no,no,yes
help,core,help,excluded_module_type_core_or_other,no,no,yes
help_topics,core,help_topics,excluded_module_type_core_or_other,no,no,yes
history,core,history,excluded_module_type_core_or_other,no,no,yes
inline_form_errors,core,inline_form_errors,excluded_module_type_core_or_other,no,no,yes
layout_builder,core,layout_builder,excluded_module_type_core_or_other,no,no,yes
layout_builder_expose_all_field_blocks,core,layout_builder,excluded_module_type_core_or_other,no,no,yes
layout_discovery,core,layout_discovery,excluded_module_type_core_or_other,no,no,yes
locale,core,locale,excluded_module_type_core_or_other,no,no,yes
migrate,core,migrate,excluded_module_type_core_or_other,no,no,yes
migrate_drupal,core,migrate_drupal,excluded_module_type_core_or_other,no,no,yes
migrate_drupal_ui,core,migrate_drupal_ui,excluded_module_type_core_or_other,no,no,yes
navigation,core,navigation,excluded_module_type_core_or_other,no,no,yes
navigation_top_bar,core,navigation,excluded_module_type_core_or_other,no,no,yes
pgsql,core,pgsql,excluded_module_type_core_or_other,no,no,yes
phpass,core,phpass,excluded_module_type_core_or_other,no,no,yes
sdc,core,sdc,excluded_module_type_core_or_other,no,no,yes
search,core,search,excluded_module_type_core_or_other,no,no,yes
shortcut,core,shortcut,excluded_module_type_core_or_other,no,no,yes
sqlite,core,sqlite,excluded_module_type_core_or_other,no,no,yes
statistics,core,statistics,excluded_module_type_core_or_other,no,no,yes
syslog,core,syslog,excluded_module_type_core_or_other,no,no,yes
testing_config_overrides_module,other,,excluded_module_type_core_or_other,no,no,yes
tome,contrib,tome,mixed_package_not_all_safe,no,no,yes
tome_static_cron,contrib,tome,mixed_package_not_all_safe,no,no,yes
tome_static_super_cache,contrib,tome,mixed_package_not_all_safe,no,no,yes
tome_sync,contrib,tome,mixed_package_not_all_safe,no,no,yes
tome_sync_autoclean,contrib,tome,mixed_package_not_all_safe,no,no,yes
tour,core,tour,excluded_module_type_core_or_other,no,no,yes
tracker,core,tracker,excluded_module_type_core_or_other,no,no,yes
workspaces,core,workspaces,excluded_module_type_core_or_other,no,no,yes
