"Hierarchy Level","Page Type","Page Sub Type","Content Type","Friendly URL","Page ID","Page Title","Full URL","Level 1","Level 2","Level 3","Level 4","Level 5","Level 6","Top Level",Homepage?,"Toggle URL"
1,"Home Page","Home Page",basic_page,/es,1,"Información del Gobierno de Estados Unidos a su alcance",https://www.usa.gov/es,"Página principal","Página principal","Página principal","Página principal","Página principal","Página principal","USAGov Español",homepage,https://www.usa.gov/
2,"Navigation Cards Page","Navigation Cards Page",basic_page,/health,88,Health,https://www.usa.gov/health,Home,Health,Health,Health,Health,Health,"USAGov English",not_homepage,https://www.usa.gov/es/salud
2,"Navigation Cards Page","Navigation Cards Page",basic_page,/jobs-labor-laws-unemployment,279,"Jobs, labor laws, and unemployment",https://www.usa.gov/jobs-labor-laws-unemployment,Home,"Jobs, labor laws and unemployment","Jobs, labor laws and unemployment","Jobs, labor laws and unemployment","Jobs, labor laws and unemployment","Jobs, labor laws and unemployment","USAGov English",not_homepage,https://www.usa.gov/es/trabajo-desempleo
3,"Navigation Page","Navigation Page",basic_page,/about-the-us/buy-from-government,145,"Buying from the U.S. government",https://www.usa.gov/about-the-us/buy-from-government,Home,"About the U.S. and its government","Buying from the U.S. government","Buying from the U.S. government","Buying from the U.S. government","Buying from the U.S. government","USAGov English",not_homepage,None
3,"Life Events","Life Events",basic_page,/life-events/disaster,757,"Recovering from a disaster",https://www.usa.gov/life-events/disaster,Home,"Life events","Recovering from a disaster","Recovering from a disaster","Recovering from a disaster","Recovering from a disaster","USAGov English",not_homepage,https://www.usa.gov/es/recuperarse-desastre-natural
3,"Navigation Page","Navigation Page",basic_page,/laws-and-legal-issues/prisons-prisoners,425,"Prisons and prisoners",https://www.usa.gov/laws-and-legal-issues/prisons-prisoners,Home,"Laws and legal issues","Prisons and prisoners","Prisons and prisoners","Prisons and prisoners","Prisons and prisoners","USAGov English",not_homepage,https://www.usa.gov/es/prisiones-prisioneros
3,"Life Events","Life Events",basic_page,/life-events/approaching-retirement,759,"Approaching retirement",https://www.usa.gov/life-events/approaching-retirement,Home,"Life events","Approaching retirement","Approaching retirement","Approaching retirement","Approaching retirement","USAGov English",not_homepage,https://www.usa.gov/es/prepararse-para-la-jubilacion
3,"Life Events","Life Events",basic_page,/life-events/adulthood,758,"Transitioning to adulthood",https://www.usa.gov/life-events/adulthood,Home,"Life events","Transitioning to adulthood","Transitioning to adulthood","Transitioning to adulthood","Transitioning to adulthood","USAGov English",not_homepage,https://www.usa.gov/es/transicion-edad-adulta
2,"Navigation Cards Page","Navigation Cards Page",basic_page,/military-and-veterans,318,"Military and veterans",https://www.usa.gov/military-and-veterans,Home,"Military and veterans","Military and veterans","Military and veterans","Military and veterans","Military and veterans","USAGov English",not_homepage,https://www.usa.gov/es/fuerzas-armadas-veteranos
2,"Navigation Cards Page","Navigation Cards Page",basic_page,/about-the-us,57,"About the U.S. and its government",https://www.usa.gov/about-the-us,Home,"About the U.S. and its government","About the U.S. and its government","About the U.S. and its government","About the U.S. and its government","About the U.S. and its government","USAGov English",not_homepage,https://www.usa.gov/es/acerca-de-estados-unidos
