"Hierarchy Level","Page Type","Page Sub Type","Content Type","Friendly URL","Page ID","Page Title","Full URL","Taxonomy Level 1","Taxonomy Level 2","Taxonomy Level 3","Taxonomy Level 4","Taxonomy Level 5","Taxonomy Level 6","Taxonomy URL Level 1","Taxonomy URL Level 2","Taxonomy URL Level 3","Taxonomy URL Level 4","Taxonomy URL Level 5","Taxonomy URL Level 6",Homepage?,"Toggle URL"
1,"Home Page","Home Page",basic_page,/,1,"Making government services easier to find",https://www.usa.gov/,"USAGov English",Home,Home,Home,Home,Home,/,/,/,/,/,/,homepage,https://www.usa.gov/
4,federal_directory_record,,federal_directory_record,/agencies/u-s-cyber-command,847,"U.S. Cyber Command",https://www.usa.gov/agencies/u-s-cyber-command,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","U.S. Cyber Command","U.S. Cyber Command","U.S. Cyber Command",/,/about-the-us,/agency-index,/agencies/u-s-cyber-command,/agencies/u-s-cyber-command,/agencies/u-s-cyber-command,not_homepage,None
4,federal_directory_record,,federal_directory_record,/agencies/u-s-space-command,848,"U.S. Space Command",https://www.usa.gov/agencies/u-s-space-command,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","U.S. Space Command","U.S. Space Command","U.S. Space Command",/,/about-the-us,/agency-index,/agencies/u-s-space-command,/agencies/u-s-space-command,/agencies/u-s-space-command,not_homepage,None
4,federal_directory_record,,federal_directory_record,/agencies/office-of-immigrant-and-employee-rights,853,"Office of Immigrant and Employee Rights (IER)",https://www.usa.gov/agencies/office-of-immigrant-and-employee-rights,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","Office of Immigrant and Employee Rights","Office of Immigrant and Employee Rights","Office of Immigrant and Employee Rights",/,/about-the-us,/agency-index,/agencies/office-of-immigrant-and-employee-rights,/agencies/office-of-immigrant-and-employee-rights,/agencies/office-of-immigrant-and-employee-rights,not_homepage,https://www.usa.gov/es/agencias/oficina-de-derechos-de-inmigrantes-y-empleados
4,federal_directory_record,,federal_directory_record,/agencies/u-s-africa-command,849,"U.S. Africa Command",https://www.usa.gov/agencies/u-s-africa-command,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","U.S. Africa Command","U.S. Africa Command","U.S. Africa Command",/,/about-the-us,/agency-index,/agencies/u-s-africa-command,/agencies/u-s-africa-command,/agencies/u-s-africa-command,not_homepage,None
4,federal_directory_record,,federal_directory_record,/agencies/national-institute-of-deafness-and-other-communication-disorders,856,"National Institute of Deafness and Other Communication Disorders (NIDCD)",https://www.usa.gov/agencies/national-institute-of-deafness-and-other-communication-disorders,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","National Institute of Deafness and Other Communication Disorders","National Institute of Deafness and Other Communication Disorders","National Institute of Deafness and Other Communication Disorders",/,/about-the-us,/agency-index,/agencies/national-institute-of-deafness-and-other-communication-disorders,/agencies/national-institute-of-deafness-and-other-communication-disorders,/agencies/national-institute-of-deafness-and-other-communication-disorders,not_homepage,https://www.usa.gov/es/agencias/instituto-nacional-de-la-sordera-y-otros-trastornos-de-la-comunicacion
4,federal_directory_record,,federal_directory_record,/agencies/national-institute-of-dental-and-craniofacial-research,858,"National Institute of Dental and Craniofacial Research (NIDCR)",https://www.usa.gov/agencies/national-institute-of-dental-and-craniofacial-research,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","National Institute of Dental and Craniofacial Research","National Institute of Dental and Craniofacial Research","National Institute of Dental and Craniofacial Research",/,/about-the-us,/agency-index,/agencies/national-institute-of-dental-and-craniofacial-research,/agencies/national-institute-of-dental-and-craniofacial-research,/agencies/national-institute-of-dental-and-craniofacial-research,not_homepage,https://www.usa.gov/es/agencias/instituto-nacional-de-investigacion-dental-y-craneofacial
4,federal_directory_record,,federal_directory_record,/agencies/indoor-air-quality,863,"Indoor Air Quality (IAQ)",https://www.usa.gov/agencies/indoor-air-quality,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","Indoor Air Quality","Indoor Air Quality","Indoor Air Quality",/,/about-the-us,/agency-index,/agencies/indoor-air-quality,/agencies/indoor-air-quality,/agencies/indoor-air-quality,not_homepage,https://www.usa.gov/es/agencias/division-de-calidad-del-aire-interior
4,federal_directory_record,,federal_directory_record,/agencies/wage-and-hour-division,861,"Wage and Hour Division (WHD)",https://www.usa.gov/agencies/wage-and-hour-division,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","Wage and Hour Division","Wage and Hour Division","Wage and Hour Division",/,/about-the-us,/agency-index,/agencies/wage-and-hour-division,/agencies/wage-and-hour-division,/agencies/wage-and-hour-division,not_homepage,https://www.usa.gov/es/agencias/division-de-horas-y-salarios
4,federal_directory_record,,federal_directory_record,/agencies/cybersecurity-and-infrastructure-security-agency,865,"Cybersecurity and Infrastructure Security Agency (CISA)",https://www.usa.gov/agencies/cybersecurity-and-infrastructure-security-agency,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","Cybersecurity and Infrastructure Security Agency","Cybersecurity and Infrastructure Security Agency","Cybersecurity and Infrastructure Security Agency",/,/about-the-us,/agency-index,/agencies/cybersecurity-and-infrastructure-security-agency,/agencies/cybersecurity-and-infrastructure-security-agency,/agencies/cybersecurity-and-infrastructure-security-agency,not_homepage,None
4,federal_directory_record,,federal_directory_record,/agencies/national-agricultural-library,869,"National Agricultural Library",https://www.usa.gov/agencies/national-agricultural-library,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","National Agricultural Library","National Agricultural Library","National Agricultural Library",/,/about-the-us,/agency-index,/agencies/national-agricultural-library,/agencies/national-agricultural-library,/agencies/national-agricultural-library,not_homepage,https://www.usa.gov/es/agencias/biblioteca-nacional-de-agricultura
4,federal_directory_record,,federal_directory_record,/agencies/u-s-fire-administration,870,"U.S. Fire Administration (USFA)",https://www.usa.gov/agencies/u-s-fire-administration,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","U.S. Fire Administration","U.S. Fire Administration","U.S. Fire Administration",/,/about-the-us,/agency-index,/agencies/u-s-fire-administration,/agencies/u-s-fire-administration,/agencies/u-s-fire-administration,not_homepage,https://www.usa.gov/es/agencias/administracion-de-incendios-de-estados-unidos
4,federal_directory_record,,federal_directory_record,/agencies/meat-and-poultry-hotline,872,"Meat and Poultry Hotline",https://www.usa.gov/agencies/meat-and-poultry-hotline,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","Meat and Poultry Hotline","Meat and Poultry Hotline","Meat and Poultry Hotline",/,/about-the-us,/agency-index,/agencies/meat-and-poultry-hotline,/agencies/meat-and-poultry-hotline,/agencies/meat-and-poultry-hotline,not_homepage,None
4,federal_directory_record,,federal_directory_record,/agencies/delta-regional-authority,873,"Delta Regional Authority",https://www.usa.gov/agencies/delta-regional-authority,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","Delta Regional Authority","Delta Regional Authority","Delta Regional Authority",/,/about-the-us,/agency-index,/agencies/delta-regional-authority,/agencies/delta-regional-authority,/agencies/delta-regional-authority,not_homepage,None
4,federal_directory_record,,federal_directory_record,/agencies/office-of-cuba-broadcasting,875,"Office of Cuba Broadcasting",https://www.usa.gov/agencies/office-of-cuba-broadcasting,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","Office of Cuba Broadcasting","Office of Cuba Broadcasting","Office of Cuba Broadcasting",/,/about-the-us,/agency-index,/agencies/office-of-cuba-broadcasting,/agencies/office-of-cuba-broadcasting,/agencies/office-of-cuba-broadcasting,not_homepage,https://www.usa.gov/es/agencias/radio-y-tv-marti
4,federal_directory_record,,federal_directory_record,/agencies/voice-of-america,876,"Voice of America (VOA)",https://www.usa.gov/agencies/voice-of-america,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","Voice of America","Voice of America","Voice of America",/,/about-the-us,/agency-index,/agencies/voice-of-america,/agencies/voice-of-america,/agencies/voice-of-america,not_homepage,https://www.usa.gov/es/agencias/voz-de-america
4,federal_directory_record,,federal_directory_record,/agencies/national-heart-lung-and-blood-institute,878,"National Heart, Lung, and Blood Institute (NHLBI)",https://www.usa.gov/agencies/national-heart-lung-and-blood-institute,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","National Heart, Lung, and Blood Institute","National Heart, Lung, and Blood Institute","National Heart, Lung, and Blood Institute",/,/about-the-us,/agency-index,/agencies/national-heart-lung-and-blood-institute,/agencies/national-heart-lung-and-blood-institute,/agencies/national-heart-lung-and-blood-institute,not_homepage,https://www.usa.gov/es/agencias/instituto-nacional-del-corazon-los-pulmones-y-la-sangre
4,federal_directory_record,,federal_directory_record,/agencies/elder-justice-initiative,879,"Elder Justice Initiative",https://www.usa.gov/agencies/elder-justice-initiative,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","Elder Justice Initiative","Elder Justice Initiative","Elder Justice Initiative",/,/about-the-us,/agency-index,/agencies/elder-justice-initiative,/agencies/elder-justice-initiative,/agencies/elder-justice-initiative,not_homepage,None
