Selectors,Event Name,Output if not Event Name,Note,Selector variable,Event name lookup variable,gtm event,,Tag name in GTM,Folder
div.usa-prose.body-copy,,{{AAAA Body Link Event Name lookup table}},,Primary Link Click Selector Check,Primary Link Event Name lookup table,gtm.linkClick,,,
header#header,,{{AAAA Header Link Event Name lookup table}},,Primary Link Click Selector Check,Primary Link Event Name lookup table,gtm.linkClick,,,
footer.usa-footer,,{{AAAA Footer Link Event Name lookup table}},,Primary Link Click Selector Check,Primary Link Event Name lookup table,gtm.linkClick,,,
ul.usa-sidenav a.usa-current,Nav_Left_Nav_Current_Click,,,Primary Link Click Selector Check,Primary Link Event Name lookup table,gtm.linkClick,,,
ul.usa-sidenav,Nav_Left_Nav_New_Click,,,Primary Link Click Selector Check,Primary Link Event Name lookup table,gtm.linkClick,,,
"[class*=""usagov-directory""]",,{{AAAA Agency Link Event Name lookup table}},,Primary Link Click Selector Check,Primary Link Event Name lookup table,gtm.linkClick,,,
ul.usa-card-group,,{{AAAA Nav Card Event Name lookup table}},,Primary Link Click Selector Check,Primary Link Event Name lookup table,gtm.linkClick,,,
li.usagov-navpage-item,Nav_Body_Plain_Card_Click,,,Primary Link Click Selector Check,Primary Link Event Name lookup table,gtm.linkClick,,,
li.usa-breadcrumb__list-item,Nav_Header_Breadcrumb_Click,,,Primary Link Click Selector Check,Primary Link Event Name lookup table,gtm.linkClick,,,
div.block-wizardenglish a,,{{AAAA Scams Wizard Link Event Name lookup table}},,Primary Link Click Selector Check,Primary Link Event Name lookup table,gtm.linkClick,,,
div.block-wizardenglish a.usa-button,,{{AAAA Scams Wizard Link Event Name lookup table}},,Primary Link Click Selector Check,Primary Link Event Name lookup table,gtm.linkClick,,,
.usa-alert__body a,Main_Content_{{Click target internal or external for Main Content Link Click}}_Click,,,New Body Copy Link Click Selector Check,Body Link Event Name lookup table,gtm.linkClick,,,
.usagov-hero__callout a,Nav_Hero_Box_Click,,,New Body Copy Link Click Selector Check,Body Link Event Name lookup table,gtm.linkClick,,,
#results a.usa-button,Nav_CEO_Results_Email_Click,,,New Body Copy Link Click Selector Check,Body Link Event Name lookup table,gtm.linkClick,,,
a.usa-button,Main_Content_{{Click target internal or external for Main Content Link Click}}_Click,,,New Body Copy Link Click Selector Check,Body Link Event Name lookup table,gtm.linkClick,,,
#results a,Main_CEO_Results_Info_Click,,,New Body Copy Link Click Selector Check,Body Link Event Name lookup table,gtm.linkClick,,,
form.usa-form a,Nav_CEO_Form_Link_Click,,,New Body Copy Link Click Selector Check,Body Link Event Name lookup table,gtm.linkClick,,,
a,Main_Content_{{Click target internal or external for Main Content Link Click}}_Click,,,New Body Copy Link Click Selector Check,Body Link Event Name lookup table,gtm.linkClick,,,
a.usa-nav__link,Nav_Header_TopicMenu_Click,,,Header Link Click Selector Check,Header Link Event Name lookup table,gtm.linkClick,,,
a.language-link,Nav_Header_Toggle_Click,,,Header Link Click Selector Check,Header Link Event Name lookup table,gtm.linkClick,,,
.usa-logo a,Nav_Header_Logo_Click,,,Header Link Click Selector Check,Header Link Event Name lookup table,gtm.linkClick,,,
#top-phone a,Nav_Header_CC_Phone_Click,,,Header Link Click Selector Check,Header Link Event Name lookup table,gtm.linkClick,,,
#block-betabanner a,Beta_Header_ReturnBanner_Click,,,Header Link Click Selector Check,Header Link Event Name lookup table,gtm.linkClick,,,
.usa-footer__secondary-link a,Nav_Footer_TopicList_Click,,,Footer Link Click Selector Check,Footer Link Event Name lookup table,gtm.linkClick,,,
.usa-footer__contact-info a,Nav_Footer_CC_Phone_Click,,,Footer Link Click Selector Check,Footer Link Event Name lookup table,gtm.linkClick,,,
a.usa-social-link,Social_Footer_Follow_Click,,,Footer Link Click Selector Check,Footer Link Event Name lookup table,gtm.linkClick,,,
div.usagov-directory-table,Main_DirPage_{{Click target internal or external for Main Content Link Click}}_Click,,,Agency Directory Link Click Selector Check,Agency Link Event Name lookup table,gtm.linkClick,,,
ul.usagov-directory-container-az,Nav_AD_AZ_Letter_Click,,,Agency Directory Link Click Selector Check,Agency Link Event Name lookup table,gtm.linkClick,,,
div.usa-accordion__content div:last-child,Nav_AD_AZ_More_Click,,,Agency Directory Link Click Selector Check,Agency Link Event Name lookup table,gtm.linkClick,,,
